File,Size,Height,Width,Serie,Year,Month,Day,Extra
FRF_c1_snap_20190617160000_EBG.jpg,"(2448, 2048)",2448,2048,20190617160000,2019,6,17,160000
FRF_c1_snap_20190701_EBG.jpg,"(1000, 837)",1000,837,20190701,2019,7,1,0
FRF_c1_snap_20191001_EBG.jpg,"(1000, 837)",1000,837,20191001,2019,10,1,0
FRF_c1_snap_20200101_EBG.jpg,"(1000, 837)",1000,837,20200101,2020,1,1,0
FRF_c1_snap_20200201_EBG.jpg,"(1000, 837)",1000,837,20200201,2020,2,1,0
FRF_c1_snap_20200221160000_EBG.jpg,"(2448, 2048)",2448,2048,20200221160000,2020,2,21,160000
FRF_c1_snap_20200401_EBG.jpg,"(1000, 837)",1000,837,20200401,2020,4,1,0
FRF_c1_snap_20200425160000_EBG.jpg,"(2448, 2048)",2448,2048,20200425160000,2020,4,25,160000
FRF_c1_snap_20200501_EBG.jpg,"(1000, 837)",1000,837,20200501,2020,5,1,0
FRF_c1_snap_20200818160000_EBG.jpg,"(2448, 2048)",2448,2048,20200818160000,2020,8,18,160000
FRF_c1_snap_20200901_EBG.jpg,"(1000, 837)",1000,837,20200901,2020,9,1,0
FRF_c1_snap_20200914160000_EBG.jpg,"(2448, 2048)",2448,2048,20200914160000,2020,9,14,160000
FRF_c1_snap_20201101_EBG.jpg,"(1000, 837)",1000,837,20201101,2020,11,1,0
FRF_c1_snap_20210109160000_EBG.jpg,"(2448, 2048)",2448,2048,20210109160000,2021,1,9,160000
FRF_c1_snap_20210201_EBG.jpg,"(1000, 837)",1000,837,20210201,2021,2,1,0
FRF_c1_snap_20210206160000_EBG.jpg,"(2448, 2048)",2448,2048,20210206160000,2021,2,6,160000
FRF_c1_snap_20210209160000_EBG.jpg,"(2448, 2048)",2448,2048,20210209160000,2021,2,9,160000
FRF_c1_snap_20210215160000_EBG.jpg,"(2448, 2048)",2448,2048,20210215160000,2021,2,15,160000
FRF_c1_snap_20210216160000_EBG.jpg,"(2448, 2048)",2448,2048,20210216160000,2021,2,16,160000
FRF_c1_snap_20210225160000_EBG.jpg,"(2448, 2048)",2448,2048,20210225160000,2021,2,25,160000
FRF_c1_snap_20210226160000_EBG.jpg,"(2448, 2048)",2448,2048,20210226160000,2021,2,26,160000
FRF_c1_snap_20210425160000_EBG.jpg,"(2448, 2048)",2448,2048,20210425160000,2021,4,25,160000
FRF_c1_snap_20210501_EBG.jpg,"(1000, 837)",1000,837,20210501,2021,5,1,0
FRF_c1_snap_20210601_EBG.jpg,"(1000, 837)",1000,837,20210601,2021,6,1,0
FRF_c1_snap_20210920160000_EBG.jpg,"(2448, 2048)",2448,2048,20210920160000,2021,9,20,160000
FRF_c1_snap_20210926160000_EBG.jpg,"(2448, 2048)",2448,2048,20210926160000,2021,9,26,160000
FRF_c1_snap_20210927160000_EBG.jpg,"(2448, 2048)",2448,2048,20210927160000,2021,9,27,160000
FRF_c1_snap_20210928160000_EBG.jpg,"(2448, 2048)",2448,2048,20210928160000,2021,9,28,160000
FRF_c1_snap_20210929160000_EBG.jpg,"(2448, 2048)",2448,2048,20210929160000,2021,9,29,160000
FRF_c1_snap_20210930160000_EBG.jpg,"(2448, 2048)",2448,2048,20210930160000,2021,9,30,160000
FRF_c1_snap_20211004160000_EBG.jpg,"(2448, 2048)",2448,2048,20211004160000,2021,10,4,160000
FRF_c1_snap_20211005160000_EBG.jpg,"(2448, 2048)",2448,2048,20211005160000,2021,10,5,160000
FRF_c1_snap_20211011160000_EBG.jpg,"(2448, 2048)",2448,2048,20211011160000,2021,10,11,160000
FRF_c1_snap_20211104160000_EBG.jpg,"(2448, 2048)",2448,2048,20211104160000,2021,11,4,160000
FRF_c1_snap_20211116160000_EBG.jpg,"(2448, 2048)",2448,2048,20211116160000,2021,11,16,160000
